anatomical_site_index	anatomical_site_label	cluster_index	character_index	character_label	ref	var	var_read_prob	site_category
0	Primary, left heel	1	28	ALPK3	22	4	0.4	primary
1	Locoregional skin metastasis 1, left heel	1	28	ALPK3	21	0	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	1	28	ALPK3	28	0	0.45	metastasis
3	Lymph node metastasis, left groin	1	28	ALPK3	15	0	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	1	28	ALPK3	16	0	0.445	metastasis
0	Primary, left heel	2	29	ATP10B	4	1	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	29	ATP10B	3	8	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	29	ATP10B	8	9	0.45	metastasis
3	Lymph node metastasis, left groin	2	29	ATP10B	2	5	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	29	ATP10B	9	5	0.445	metastasis
0	Primary, left heel	2	30	SBSN	386	244	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	30	SBSN	420	339	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	30	SBSN	442	352	0.45	metastasis
3	Lymph node metastasis, left groin	2	30	SBSN	424	343	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	30	SBSN	326	270	0.445	metastasis
0	Primary, left heel	2	31	TRPM1	269	167	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	31	TRPM1	316	222	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	31	TRPM1	340	234	0.45	metastasis
3	Lymph node metastasis, left groin	2	31	TRPM1	291	186	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	31	TRPM1	277	212	0.445	metastasis
0	Primary, left heel	3	32	PSG3	14	0	0.4	primary
1	Locoregional skin metastasis 1, left heel	3	32	PSG3	23	0	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	3	32	PSG3	24	1	0.45	metastasis
3	Lymph node metastasis, left groin	3	32	PSG3	13	0	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	3	32	PSG3	13	4	0.445	metastasis
0	Primary, left heel	2	33	ZNF865	235	182	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	33	ZNF865	254	224	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	33	ZNF865	265	218	0.45	metastasis
3	Lymph node metastasis, left groin	2	33	ZNF865	249	218	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	33	ZNF865	236	144	0.445	metastasis
0	Primary, left heel	2	34	NCOA2	103	52	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	34	NCOA2	114	84	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	34	NCOA2	102	82	0.45	metastasis
3	Lymph node metastasis, left groin	2	34	NCOA2	99	50	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	34	NCOA2	94	49	0.445	metastasis
0	Primary, left heel	2	35	RERGL	180	95	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	35	RERGL	215	107	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	35	RERGL	249	152	0.45	metastasis
3	Lymph node metastasis, left groin	2	35	RERGL	205	108	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	35	RERGL	233	127	0.445	metastasis
0	Primary, left heel	4	36	FLJ22184	23	0	0.4	primary
1	Locoregional skin metastasis 1, left heel	4	36	FLJ22184	34	5	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	4	36	FLJ22184	29	0	0.45	metastasis
3	Lymph node metastasis, left groin	4	36	FLJ22184	31	6	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	4	36	FLJ22184	16	0	0.445	metastasis
0	Primary, left heel	4	37	IL18R1	138	0	0.4	primary
1	Locoregional skin metastasis 1, left heel	4	37	IL18R1	191	0	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	4	37	IL18R1	227	0	0.45	metastasis
3	Lymph node metastasis, left groin	4	37	IL18R1	130	28	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	4	37	IL18R1	180	0	0.445	metastasis
0	Primary, left heel	0	38	CHRDL2	64	0	0.4	primary
1	Locoregional skin metastasis 1, left heel	0	38	CHRDL2	74	0	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	0	38	CHRDL2	45	33	0.45	metastasis
3	Lymph node metastasis, left groin	0	38	CHRDL2	72	0	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	0	38	CHRDL2	69	0	0.445	metastasis
0	Primary, left heel	8	39	TRIL	11	0	0.4	primary
1	Locoregional skin metastasis 1, left heel	8	39	TRIL	24	6	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	8	39	TRIL	8	0	0.45	metastasis
3	Lymph node metastasis, left groin	8	39	TRIL	7	1	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	8	39	TRIL	10	0	0.445	metastasis
0	Primary, left heel	2	40	EMG1	0	106	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	40	EMG1	0	163	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	40	EMG1	0	144	0.45	metastasis
3	Lymph node metastasis, left groin	2	40	EMG1	0	128	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	40	EMG1	0	104	0.445	metastasis
0	Primary, left heel	2	41	EXOSC10	206	101	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	41	EXOSC10	186	124	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	41	EXOSC10	235	145	0.45	metastasis
3	Lymph node metastasis, left groin	2	41	EXOSC10	164	112	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	41	EXOSC10	148	131	0.445	metastasis
0	Primary, left heel	2	42	ERCC8	13	11	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	42	ERCC8	14	16	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	42	ERCC8	18	24	0.45	metastasis
3	Lymph node metastasis, left groin	2	42	ERCC8	15	12	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	42	ERCC8	20	10	0.445	metastasis
0	Primary, left heel	2	43	GAlymph node metastasis, left groinT10	91	66	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	43	GAlymph node metastasis, left groinT10	119	99	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	43	GAlymph node metastasis, left groinT10	115	115	0.45	metastasis
3	Lymph node metastasis, left groin	2	43	GAlymph node metastasis, left groinT10	120	97	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	43	GAlymph node metastasis, left groinT10	111	71	0.445	metastasis
0	Primary, left heel	2	44	UTP15	181	129	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	44	UTP15	192	167	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	44	UTP15	225	178	0.45	metastasis
3	Lymph node metastasis, left groin	2	44	UTP15	180	149	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	44	UTP15	215	123	0.445	metastasis
0	Primary, left heel	2	45	LPPR5	87	57	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	45	LPPR5	91	75	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	45	LPPR5	93	78	0.45	metastasis
3	Lymph node metastasis, left groin	2	45	LPPR5	82	80	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	45	LPPR5	100	71	0.445	metastasis
0	Primary, left heel	2	46	HADHA	314	169	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	46	HADHA	366	281	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	46	HADHA	390	245	0.45	metastasis
3	Lymph node metastasis, left groin	2	46	HADHA	286	218	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	46	HADHA	279	199	0.445	metastasis
0	Primary, left heel	3	47	KCNK1	154	0	0.4	primary
1	Locoregional skin metastasis 1, left heel	3	47	KCNK1	211	0	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	3	47	KCNK1	265	1	0.45	metastasis
3	Lymph node metastasis, left groin	3	47	KCNK1	186	0	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	3	47	KCNK1	129	105	0.445	metastasis
0	Primary, left heel	2	48	ARID1A	167	86	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	48	ARID1A	175	145	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	48	ARID1A	187	130	0.45	metastasis
3	Lymph node metastasis, left groin	2	48	ARID1A	182	115	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	48	ARID1A	144	128	0.445	metastasis
0	Primary, left heel	0	49	AIFM3	292	0	0.4	primary
1	Locoregional skin metastasis 1, left heel	0	49	AIFM3	332	0	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	0	49	AIFM3	236	110	0.45	metastasis
3	Lymph node metastasis, left groin	0	49	AIFM3	331	0	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	0	49	AIFM3	264	0	0.445	metastasis
0	Primary, left heel	6	50	TMEM59	21	5	0.4	primary
1	Locoregional skin metastasis 1, left heel	6	50	TMEM59	26	1	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	6	50	TMEM59	32	2	0.45	metastasis
3	Lymph node metastasis, left groin	6	50	TMEM59	29	1	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	6	50	TMEM59	17	2	0.445	metastasis
0	Primary, left heel	2	51	FBN2	92	36	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	51	FBN2	65	69	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	51	FBN2	79	66	0.45	metastasis
3	Lymph node metastasis, left groin	2	51	FBN2	88	52	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	51	FBN2	69	60	0.445	metastasis
0	Primary, left heel	2	52	KDM2B	154	65	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	52	KDM2B	126	101	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	52	KDM2B	114	99	0.45	metastasis
3	Lymph node metastasis, left groin	2	52	KDM2B	163	97	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	52	KDM2B	93	69	0.445	metastasis
0	Primary, left heel	1	53	UNC13A	18	4	0.4	primary
1	Locoregional skin metastasis 1, left heel	1	53	UNC13A	22	0	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	1	53	UNC13A	28	0	0.45	metastasis
3	Lymph node metastasis, left groin	1	53	UNC13A	24	0	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	1	53	UNC13A	14	0	0.445	metastasis
0	Primary, left heel	4	54	DUSP26	111	0	0.4	primary
1	Locoregional skin metastasis 1, left heel	4	54	DUSP26	137	0	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	4	54	DUSP26	133	0	0.45	metastasis
3	Lymph node metastasis, left groin	4	54	DUSP26	80	49	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	4	54	DUSP26	129	0	0.445	metastasis
0	Primary, left heel	2	55	MYO15A	160	129	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	55	MYO15A	160	149	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	55	MYO15A	157	108	0.45	metastasis
3	Lymph node metastasis, left groin	2	55	MYO15A	136	96	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	55	MYO15A	91	77	0.445	metastasis
0	Primary, left heel	9	56	SLC6A10P	18	0	0.4	primary
1	Locoregional skin metastasis 1, left heel	9	56	SLC6A10P	17	1	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	9	56	SLC6A10P	19	2	0.45	metastasis
3	Lymph node metastasis, left groin	9	56	SLC6A10P	15	4	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	9	56	SLC6A10P	12	1	0.445	metastasis
0	Primary, left heel	2	57	ZZZ3	166	82	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	57	ZZZ3	167	115	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	57	ZZZ3	219	146	0.45	metastasis
3	Lymph node metastasis, left groin	2	57	ZZZ3	145	111	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	57	ZZZ3	182	134	0.445	metastasis
0	Primary, left heel	4	58	RAD51AP2	641	0	0.4	primary
1	Locoregional skin metastasis 1, left heel	4	58	RAD51AP2	772	0	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	4	58	RAD51AP2	895	0	0.45	metastasis
3	Lymph node metastasis, left groin	4	58	RAD51AP2	375	284	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	4	58	RAD51AP2	805	0	0.445	metastasis
0	Primary, left heel	2	59	CDH9	114	72	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	59	CDH9	162	118	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	59	CDH9	170	110	0.45	metastasis
3	Lymph node metastasis, left groin	2	59	CDH9	127	112	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	59	CDH9	182	144	0.445	metastasis
0	Primary, left heel	2	60	PTPRC	100	57	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	60	PTPRC	120	82	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	60	PTPRC	174	100	0.45	metastasis
3	Lymph node metastasis, left groin	2	60	PTPRC	101	90	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	60	PTPRC	108	96	0.445	metastasis
0	Primary, left heel	2	61	MYT1L	218	128	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	61	MYT1L	223	243	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	61	MYT1L	319	220	0.45	metastasis
3	Lymph node metastasis, left groin	2	61	MYT1L	230	207	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	61	MYT1L	270	172	0.445	metastasis
0	Primary, left heel	3	62	ASPM	154	0	0.4	primary
1	Locoregional skin metastasis 1, left heel	3	62	ASPM	220	1	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	3	62	ASPM	245	0	0.45	metastasis
3	Lymph node metastasis, left groin	3	62	ASPM	163	0	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	3	62	ASPM	155	107	0.445	metastasis
0	Primary, left heel	2	63	MAP3K10	59	47	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	63	MAP3K10	64	52	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	63	MAP3K10	64	49	0.45	metastasis
3	Lymph node metastasis, left groin	2	63	MAP3K10	60	48	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	63	MAP3K10	51	44	0.445	metastasis
0	Primary, left heel	2	64	DALRD3	285	169	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	64	DALRD3	354	255	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	64	DALRD3	346	257	0.45	metastasis
3	Lymph node metastasis, left groin	2	64	DALRD3	272	213	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	64	DALRD3	229	213	0.445	metastasis
0	Primary, left heel	4	65	SPATA20	234	0	0.4	primary
1	Locoregional skin metastasis 1, left heel	4	65	SPATA20	260	0	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	4	65	SPATA20	300	0	0.45	metastasis
3	Lymph node metastasis, left groin	4	65	SPATA20	137	75	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	4	65	SPATA20	242	0	0.445	metastasis
0	Primary, left heel	2	66	ZNF267	55	38	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	66	ZNF267	90	63	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	66	ZNF267	118	80	0.45	metastasis
3	Lymph node metastasis, left groin	2	66	ZNF267	69	49	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	66	ZNF267	88	78	0.445	metastasis
0	Primary, left heel	3	67	MUC16	356	0	0.4	primary
1	Locoregional skin metastasis 1, left heel	3	67	MUC16	459	1	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	3	67	MUC16	476	0	0.45	metastasis
3	Lymph node metastasis, left groin	3	67	MUC16	473	0	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	3	67	MUC16	200	179	0.445	metastasis
0	Primary, left heel	4	68	TGM4	28	0	0.4	primary
1	Locoregional skin metastasis 1, left heel	4	68	TGM4	32	0	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	4	68	TGM4	39	0	0.45	metastasis
3	Lymph node metastasis, left groin	4	68	TGM4	17	4	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	4	68	TGM4	34	0	0.445	metastasis
0	Primary, left heel	0	69	ZNF829	669	0	0.4	primary
1	Locoregional skin metastasis 1, left heel	0	69	ZNF829	978	17	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	0	69	ZNF829	568	110	0.45	metastasis
3	Lymph node metastasis, left groin	0	69	ZNF829	938	0	0.445	metastasis
