anatomical_site_index	anatomical_site_label	cluster_index	character_index	character_label	ref	var	var_read_prob	site_category
1	Lung metastasis	0	26	LOXHD1	1195	550	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	26	LOXHD1	1539	1321	0.5	metastasis
0	Primary, right forearm	0	27	NOL4	241	99	0.5	primary
1	Lung metastasis	0	27	NOL4	171	71	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	27	NOL4	228	186	0.5	metastasis
0	Primary, right forearm	0	28	ASXL3	208	109	0.5	primary
1	Lung metastasis	0	28	ASXL3	172	69	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	28	ASXL3	160	169	0.5	metastasis
0	Primary, right forearm	0	29	FAT1	136	54	0.5	primary
1	Lung metastasis	0	29	FAT1	106	56	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	29	FAT1	140	94	0.5	metastasis
0	Primary, right forearm	0	30	SLIT2	216	87	0.5	primary
1	Lung metastasis	0	30	SLIT2	124	61	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	30	SLIT2	177	184	0.5	metastasis
0	Primary, right forearm	0	31	WDR7	363	181	0.5	primary
1	Lung metastasis	0	31	WDR7	281	120	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	31	WDR7	390	269	0.5	metastasis
0	Primary, right forearm	0	32	LOXHD1	671	280	0.5	primary
1	Lung metastasis	0	32	LOXHD1	423	187	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	32	LOXHD1	457	516	0.5	metastasis
0	Primary, right forearm	0	33	ADNP2	493	224	0.5	primary
1	Lung metastasis	0	33	ADNP2	395	188	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	33	ADNP2	461	394	0.5	metastasis
0	Primary, right forearm	0	34	DSG1	55	28	0.5	primary
1	Lung metastasis	0	34	DSG1	39	24	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	34	DSG1	62	59	0.5	metastasis
0	Primary, right forearm	2	35	LPHN3	153	50	0.5	primary
1	Lung metastasis	2	35	LPHN3	133	46	0.5	metastasis
2	Locoregional skin metastasis, axilla	2	35	LPHN3	124	90	0.5	metastasis
0	Primary, right forearm	3	36	ABLIM2	111	0	0.5	primary
1	Lung metastasis	3	36	ABLIM2	68	29	0.5	metastasis
2	Locoregional skin metastasis, axilla	3	36	ABLIM2	140	0	0.5	metastasis
0	Primary, right forearm	0	37	CELF4	57	18	0.5	primary
1	Lung metastasis	0	37	CELF4	50	30	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	37	CELF4	67	47	0.5	metastasis
0	Primary, right forearm	0	38	ADH7	58	33	0.5	primary
1	Lung metastasis	0	38	ADH7	45	13	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	38	ADH7	46	33	0.5	metastasis
0	Primary, right forearm	0	39	KIAA0232	87	35	0.5	primary
1	Lung metastasis	0	39	KIAA0232	72	25	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	39	KIAA0232	100	104	0.5	metastasis
0	Primary, right forearm	1	40	SHISA3	419	0	0.5	primary
1	Lung metastasis	1	40	SHISA3	278	0	0.5	metastasis
2	Locoregional skin metastasis, axilla	1	40	SHISA3	215	199	0.5	metastasis
0	Primary, right forearm	0	41	LOXHD1	312	127	0.5	primary
1	Lung metastasis	0	41	LOXHD1	185	92	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	41	LOXHD1	256	216	0.5	metastasis
0	Primary, right forearm	0	42	SEL1L3	63	24	0.5	primary
1	Lung metastasis	0	42	SEL1L3	42	27	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	42	SEL1L3	54	48	0.5	metastasis
0	Primary, right forearm	0	43	DSC3	61	11	0.5	primary
1	Lung metastasis	0	43	DSC3	25	23	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	43	DSC3	57	36	0.5	metastasis
0	Primary, right forearm	2	44	DCC	53	14	0.5	primary
1	Lung metastasis	2	44	DCC	38	11	0.5	metastasis
2	Locoregional skin metastasis, axilla	2	44	DCC	43	16	0.5	metastasis
0	Primary, right forearm	0	45	FGG	130	63	0.5	primary
1	Lung metastasis	0	45	FGG	111	38	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	45	FGG	143	128	0.5	metastasis
0	Primary, right forearm	0	46	TACR3	348	165	0.5	primary
1	Lung metastasis	0	46	TACR3	254	126	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	46	TACR3	355	288	0.5	metastasis
0	Primary, right forearm	0	47	LAMA3	111	52	0.5	primary
1	Lung metastasis	0	47	LAMA3	77	26	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	47	LAMA3	94	89	0.5	metastasis
0	Primary, right forearm	0	48	SERPINB7	157	71	0.5	primary
1	Lung metastasis	0	48	SERPINB7	103	54	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	48	SERPINB7	147	112	0.5	metastasis
0	Primary, right forearm	2	49	FRAS1	227	76	0.5	primary
1	Lung metastasis	2	49	FRAS1	156	57	0.5	metastasis
2	Locoregional skin metastasis, axilla	2	49	FRAS1	251	154	0.5	metastasis
0	Primary, right forearm	0	50	NETO1	45	18	0.5	primary
1	Lung metastasis	0	50	NETO1	38	15	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	50	NETO1	48	36	0.5	metastasis
0	Primary, right forearm	2	51	DRD5	308	122	0.5	primary
1	Lung metastasis	2	51	DRD5	271	90	0.5	metastasis
2	Locoregional skin metastasis, axilla	2	51	DRD5	304	196	0.5	metastasis
0	Primary, right forearm	0	52	FREM3	334	156	0.5	primary
1	Lung metastasis	0	52	FREM3	216	95	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	52	FREM3	313	292	0.5	metastasis
0	Primary, right forearm	2	53	SORCS2	200	68	0.5	primary
1	Lung metastasis	2	53	SORCS2	161	53	0.5	metastasis
2	Locoregional skin metastasis, axilla	2	53	SORCS2	214	161	0.5	metastasis
