5 #anatomical sites
6 #samples
53 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	ref	var
2	M1_0	1	M1	16	16	205	0
2	M1_0	1	M1	17	17	176	0
2	M1_0	1	M1	18	18	206	0
2	M1_0	1	M1	19	19	118	100
2	M1_0	1	M1	20	20	213	0
2	M1_0	1	M1	21	21	196	1
2	M1_0	1	M1	22	22	197	0
2	M1_0	1	M1	23	23	151	74
2	M1_0	1	M1	24	26	186	13
2	M1_0	1	M1	25	27	195	14
2	M1_0	1	M1	26	30	211	1
2	M1_0	1	M1	27	31	148	32
2	M1_0	1	M1	28	35	234	0
2	M1_0	1	M1	29	37	202	1
2	M1_0	1	M1	30	38	215	0
2	M1_0	1	M1	31	39	208	0
2	M1_0	1	M1	32	40	213	0
2	M1_0	1	M1	33	41	202	0
2	M1_0	1	M1	34	43	203	0
2	M1_0	1	M1	35	44	187	0
2	M1_0	1	M1	36	45	201	0
2	M1_0	1	M1	37	46	188	0
2	M1_0	1	M1	38	47	193	0
2	M1_0	1	M1	39	48	189	0
2	M1_0	1	M1	40	49	199	2
2	M1_0	1	M1	41	50	193	1
2	M1_0	1	M1	42	51	202	0
2	M1_0	1	M1	43	52	209	0
2	M1_0	1	M1	44	53	190	0
2	M1_0	1	M1	45	54	216	0
2	M1_0	1	M1	46	55	193	0
2	M1_0	1	M1	47	56	209	0
2	M1_0	1	M1	48	57	199	0
2	M1_0	1	M1	49	60	192	1
2	M1_0	1	M1	50	61	210	0
2	M1_0	1	M1	51	65	181	1
2	M1_0	1	M1	52	66	184	0
3	M2_0	2	M2	0	0	105	94
3	M2_0	2	M2	1	1	99	103
3	M2_0	2	M2	2	2	220	0
3	M2_0	2	M2	3	3	192	0
3	M2_0	2	M2	4	4	98	107
3	M2_0	2	M2	5	5	199	0
3	M2_0	2	M2	6	6	110	101
3	M2_0	2	M2	7	7	206	0
3	M2_0	2	M2	8	8	204	1
3	M2_0	2	M2	9	9	110	92
3	M2_0	2	M2	10	10	196	0
3	M2_0	2	M2	11	11	199	0
3	M2_0	2	M2	12	12	212	0
3	M2_0	2	M2	13	13	97	98
3	M2_0	2	M2	14	14	194	0
3	M2_0	2	M2	15	15	218	0
3	M2_0	2	M2	16	16	197	0
3	M2_0	2	M2	17	17	205	1
3	M2_0	2	M2	18	18	116	111
3	M2_0	2	M2	19	19	176	0
3	M2_0	2	M2	20	20	204	0
3	M2_0	2	M2	21	21	210	0
3	M2_0	2	M2	22	22	193	0
3	M2_0	2	M2	23	23	218	0
3	M2_0	2	M2	24	26	212	0
3	M2_0	2	M2	25	27	221	0
3	M2_0	2	M2	26	30	169	0
3	M2_0	2	M2	27	31	213	0
3	M2_0	2	M2	28	35	177	0
3	M2_0	2	M2	29	37	213	0
3	M2_0	2	M2	30	38	148	54
3	M2_0	2	M2	31	39	138	48
3	M2_0	2	M2	32	40	220	0
3	M2_0	2	M2	33	41	204	0
3	M2_0	2	M2	34	43	204	1
3	M2_0	2	M2	35	44	191	0
3	M2_0	2	M2	36	45	214	0
3	M2_0	2	M2	37	46	174	0
3	M2_0	2	M2	38	47	192	0
3	M2_0	2	M2	39	48	212	0
3	M2_0	2	M2	40	49	198	0
3	M2_0	2	M2	41	50	181	0
3	M2_0	2	M2	42	51	194	1
3	M2_0	2	M2	43	52	198	0
3	M2_0	2	M2	44	53	212	1
3	M2_0	2	M2	45	54	213	0
3	M2_0	2	M2	46	55	195	0
3	M2_0	2	M2	47	56	206	0
3	M2_0	2	M2	48	57	231	0
3	M2_0	2	M2	49	60	176	0
3	M2_0	2	M2	50	61	189	0
3	M2_0	2	M2	51	65	193	0
3	M2_0	2	M2	52	66	177	0
4	M3_0	3	M3	0	0	74	102
4	M3_0	3	M3	1	1	191	0
4	M3_0	3	M3	2	2	195	1
4	M3_0	3	M3	3	3	215	0
4	M3_0	3	M3	4	4	205	0
4	M3_0	3	M3	5	5	206	0
4	M3_0	3	M3	6	6	208	0
4	M3_0	3	M3	7	7	192	0
4	M3_0	3	M3	8	8	207	0
4	M3_0	3	M3	9	9	205	0
4	M3_0	3	M3	10	10	227	0
4	M3_0	3	M3	11	11	215	0
4	M3_0	3	M3	12	12	170	0
4	M3_0	3	M3	13	13	198	1
4	M3_0	3	M3	14	14	104	107
4	M3_0	3	M3	15	15	183	0
4	M3_0	3	M3	16	16	238	1
4	M3_0	3	M3	17	17	203	0
4	M3_0	3	M3	18	18	219	0
4	M3_0	3	M3	19	19	214	0
4	M3_0	3	M3	20	20	185	0
4	M3_0	3	M3	21	21	81	109
4	M3_0	3	M3	22	22	168	0
4	M3_0	3	M3	23	23	193	1
4	M3_0	3	M3	24	26	213	1
4	M3_0	3	M3	25	27	196	0
4	M3_0	3	M3	26	30	100	109
4	M3_0	3	M3	27	31	187	1
4	M3_0	3	M3	28	35	102	114
4	M3_0	3	M3	29	37	191	0
4	M3_0	3	M3	30	38	192	0
4	M3_0	3	M3	31	39	207	1
4	M3_0	3	M3	32	40	190	0
4	M3_0	3	M3	33	41	192	1
4	M3_0	3	M3	34	43	87	89
4	M3_0	3	M3	35	44	187	0
4	M3_0	3	M3	36	45	90	126
4	M3_0	3	M3	37	46	185	0
4	M3_0	3	M3	38	47	198	1
4	M3_0	3	M3	39	48	198	0
4	M3_0	3	M3	40	49	208	0
4	M3_0	3	M3	41	50	202	1
4	M3_0	3	M3	42	51	198	0
4	M3_0	3	M3	43	52	102	87
4	M3_0	3	M3	44	53	186	10
4	M3_0	3	M3	45	54	183	0
4	M3_0	3	M3	46	55	193	12
4	M3_0	3	M3	47	56	200	0
4	M3_0	3	M3	48	57	195	0
4	M3_0	3	M3	49	60	189	0
4	M3_0	3	M3	50	61	197	0
4	M3_0	3	M3	51	65	220	0
4	M3_0	3	M3	52	66	190	0
5	M4_0	4	M4	0	0	112	96
5	M4_0	4	M4	1	1	97	101
5	M4_0	4	M4	2	2	226	0
5	M4_0	4	M4	3	3	188	0
5	M4_0	4	M4	4	4	193	0
5	M4_0	4	M4	5	5	212	0
5	M4_0	4	M4	6	6	211	1
5	M4_0	4	M4	7	7	120	86
5	M4_0	4	M4	8	8	193	0
5	M4_0	4	M4	9	9	194	0
5	M4_0	4	M4	10	10	174	0
5	M4_0	4	M4	11	11	100	94
5	M4_0	4	M4	12	12	186	0
5	M4_0	4	M4	13	13	192	0
5	M4_0	4	M4	14	14	203	0
5	M4_0	4	M4	15	15	204	0
5	M4_0	4	M4	16	16	168	0
5	M4_0	4	M4	17	17	101	112
5	M4_0	4	M4	18	18	172	0
5	M4_0	4	M4	19	19	201	0
5	M4_0	4	M4	20	20	190	0
5	M4_0	4	M4	21	21	196	0
5	M4_0	4	M4	22	22	100	90
5	M4_0	4	M4	23	23	219	1
5	M4_0	4	M4	24	26	212	0
5	M4_0	4	M4	25	27	203	0
5	M4_0	4	M4	26	30	186	1
5	M4_0	4	M4	27	31	207	2
5	M4_0	4	M4	28	35	221	1
5	M4_0	4	M4	29	37	217	0
5	M4_0	4	M4	30	38	214	0
5	M4_0	4	M4	31	39	218	1
5	M4_0	4	M4	32	40	202	0
5	M4_0	4	M4	33	41	169	0
5	M4_0	4	M4	34	43	178	1
5	M4_0	4	M4	35	44	121	98
5	M4_0	4	M4	36	45	203	0
5	M4_0	4	M4	37	46	194	2
5	M4_0	4	M4	38	47	189	0
5	M4_0	4	M4	39	48	190	0
5	M4_0	4	M4	40	49	170	2
5	M4_0	4	M4	41	50	163	0
5	M4_0	4	M4	42	51	197	0
5	M4_0	4	M4	43	52	191	0
5	M4_0	4	M4	44	53	204	0
5	M4_0	4	M4	45	54	190	0
5	M4_0	4	M4	46	55	208	1
5	M4_0	4	M4	47	56	91	84
5	M4_0	4	M4	48	57	187	10
5	M4_0	4	M4	49	60	184	21
5	M4_0	4	M4	50	61	193	18
5	M4_0	4	M4	51	65	205	11
5	M4_0	4	M4	52	66	176	21
