,dataset,Parsimony metric,Fit theta
277,HGSOC,Comigration,0.12020664662122726
278,HGSOC,Seeding site,0.12020662426948547
279,Melanoma,Migration,0.3333333432674408
280,Melanoma,Comigration,0.3333333432674408
281,Melanoma,Seeding site,0.3333333432674408
282,Neuroblastoma,Migration,0.4176281690597534
283,Neuroblastoma,Comigration,0.3522036373615265
284,Neuroblastoma,Seeding site,0.23016823828220367
285,NSCLC,Migration,0.47677546739578247
286,NSCLC,Comigration,0.2528899610042572
287,NSCLC,Seeding site,0.27033451199531555
288,HGSOC,Migration,0.6185100078582764
289,HGSOC,Comigration,0.19074499607086182
290,HGSOC,Seeding site,0.19074498116970062
291,Melanoma,Migration,0.8850647211074829
292,Melanoma,Comigration,0.057467635720968246
293,Melanoma,Seeding site,0.057467635720968246
294,Neuroblastoma,Migration,0.6161518692970276
295,Neuroblastoma,Comigration,0.2157144844532013
296,Neuroblastoma,Seeding site,0.16813357174396515
297,NSCLC,Migration,0.4951721727848053
298,NSCLC,Comigration,0.25965479016304016
299,NSCLC,Seeding site,0.24517300724983215
300,HGSOC,Migration,0.5566412210464478
301,HGSOC,Comigration,0.22167937457561493
302,HGSOC,Seeding site,0.2216794192790985
303,Melanoma,Migration,0.6256958246231079
304,Melanoma,Comigration,0.2615480124950409
305,Melanoma,Seeding site,0.11275622248649597
306,Neuroblastoma,Migration,0.6039667725563049
307,Neuroblastoma,Comigration,0.2488512396812439
308,Neuroblastoma,Seeding site,0.1471819281578064
309,NSCLC,Migration,0.5890922546386719
310,NSCLC,Comigration,0.20475329458713531
311,NSCLC,Seeding site,0.2061544507741928
312,HGSOC,Migration,0.809516191482544
313,HGSOC,Comigration,0.09524194151163101
314,HGSOC,Seeding site,0.09524194151163101
315,Melanoma,Migration,0.4544808864593506
316,Melanoma,Comigration,0.2375691831111908
317,Melanoma,Seeding site,0.307949960231781
318,Neuroblastoma,Migration,0.3385913372039795
319,Neuroblastoma,Comigration,0.33293306827545166
320,Neuroblastoma,Seeding site,0.32847556471824646
321,NSCLC,Migration,0.45782023668289185
322,NSCLC,Comigration,0.26908859610557556
323,NSCLC,Seeding site,0.2730911076068878
324,HGSOC,Migration,0.4619274437427521
325,HGSOC,Comigration,0.26903626322746277
326,HGSOC,Seeding site,0.26903629302978516
327,Melanoma,Migration,0.3344196081161499
328,Melanoma,Comigration,0.33238381147384644
329,Melanoma,Seeding site,0.33319661021232605
330,Neuroblastoma,Migration,0.3337397277355194
331,Neuroblastoma,Comigration,0.3334701657295227
332,Neuroblastoma,Seeding site,0.33279016613960266
333,NSCLC,Migration,0.5391569137573242
334,NSCLC,Comigration,0.23323482275009155
335,NSCLC,Seeding site,0.227608323097229
336,HGSOC,Migration,0.7598151564598083
337,HGSOC,Comigration,0.12009241431951523
338,HGSOC,Seeding site,0.12009239196777344
339,Melanoma,Migration,0.7314159870147705
340,Melanoma,Comigration,0.13429200649261475
341,Melanoma,Seeding site,0.13429199159145355
342,Neuroblastoma,Migration,0.5658156275749207
343,Neuroblastoma,Comigration,0.234732985496521
344,Neuroblastoma,Seeding site,0.19945135712623596
345,NSCLC,Migration,0.46706774830818176
346,NSCLC,Comigration,0.25994113087654114
347,NSCLC,Seeding site,0.2729911804199219
348,HGSOC,Migration,0.7268186807632446
349,HGSOC,Comigration,0.13659065961837769
350,HGSOC,Seeding site,0.1365906447172165
351,Melanoma,Migration,0.7314160466194153
352,Melanoma,Comigration,0.13429194688796997
353,Melanoma,Seeding site,0.13429199159145355
354,Neuroblastoma,Migration,0.6228553652763367
355,Neuroblastoma,Comigration,0.21862076222896576
356,Neuroblastoma,Seeding site,0.15852384269237518
357,NSCLC,Migration,0.5255234241485596
358,NSCLC,Comigration,0.24041905999183655
359,NSCLC,Seeding site,0.2340574711561203
360,HGSOC,Migration,0.5816789269447327
361,HGSOC,Comigration,0.20916056632995605
362,HGSOC,Seeding site,0.20916058123111725
363,Melanoma,Migration,0.6866322159767151
364,Melanoma,Comigration,0.15668387711048126
365,Melanoma,Seeding site,0.15668387711048126
366,Neuroblastoma,Migration,0.5840896368026733
367,Neuroblastoma,Comigration,0.2117898315191269
368,Neuroblastoma,Seeding site,0.20412057638168335
369,NSCLC,Migration,0.5174798369407654
370,NSCLC,Comigration,0.25825241208076477
371,NSCLC,Seeding site,0.22426773607730865
372,HGSOC,Migration,0.5815300941467285
373,HGSOC,Comigration,0.20923493802547455
374,HGSOC,Seeding site,0.20923498272895813
375,Melanoma,Migration,0.573615550994873
376,Melanoma,Comigration,0.21698841452598572
377,Melanoma,Seeding site,0.20939604938030243
378,Neuroblastoma,Migration,0.7760065197944641
379,Neuroblastoma,Comigration,0.15515564382076263
380,Neuroblastoma,Seeding site,0.06883786618709564
381,NSCLC,Migration,0.5637842416763306
382,NSCLC,Comigration,0.21730735898017883
383,NSCLC,Seeding site,0.2189083993434906
384,HGSOC,Migration,0.3333333432674408
385,HGSOC,Comigration,0.3333333432674408
386,HGSOC,Seeding site,0.3333333432674408
387,Melanoma,Migration,0.6055131554603577
388,Melanoma,Comigration,0.2852012813091278
389,Melanoma,Seeding site,0.10928552597761154
390,Neuroblastoma,Migration,0.39538446068763733
391,Neuroblastoma,Comigration,0.3422337472438812
392,Neuroblastoma,Seeding site,0.2623818814754486
393,NSCLC,Migration,0.5166911482810974
394,NSCLC,Comigration,0.240122988820076
395,NSCLC,Seeding site,0.2431858628988266
396,HGSOC,Migration,0.6841938495635986
397,HGSOC,Comigration,0.1579030603170395
398,HGSOC,Seeding site,0.1579030603170395
399,Melanoma,Migration,0.607890784740448
400,Melanoma,Comigration,0.20949308574199677
401,Melanoma,Seeding site,0.18261615931987762
402,Neuroblastoma,Migration,0.6601746678352356
403,Neuroblastoma,Comigration,0.21797969937324524
404,Neuroblastoma,Seeding site,0.12184561043977737
405,NSCLC,Migration,0.4955999553203583
406,NSCLC,Comigration,0.2505267560482025
407,NSCLC,Seeding site,0.2538732588291168
408,HGSOC,Migration,0.4619274437427521
409,HGSOC,Comigration,0.26903626322746277
410,HGSOC,Seeding site,0.26903629302978516
411,Melanoma,Migration,0.8258532881736755
412,Melanoma,Comigration,0.08707333356142044
413,Melanoma,Seeding site,0.08707335591316223
414,Neuroblastoma,Migration,0.7360144257545471
415,Neuroblastoma,Comigration,0.16558319330215454
416,Neuroblastoma,Seeding site,0.09840241819620132
417,NSCLC,Migration,0.5787752270698547
418,NSCLC,Comigration,0.21767349541187286
419,NSCLC,Seeding site,0.2035513073205948
420,HGSOC,Migration,0.3333333432674408
421,HGSOC,Comigration,0.3333333432674408
422,HGSOC,Seeding site,0.3333333432674408
423,Melanoma,Migration,0.5495051145553589
424,Melanoma,Comigration,0.22709248960018158
425,Melanoma,Seeding site,0.22340238094329834
426,Neuroblastoma,Migration,0.5718637108802795
427,Neuroblastoma,Comigration,0.22293442487716675
428,Neuroblastoma,Seeding site,0.20520180463790894
429,NSCLC,Migration,0.4542756974697113
430,NSCLC,Comigration,0.2662765085697174
431,NSCLC,Seeding site,0.2794478237628937
432,HGSOC,Migration,0.3333333432674408
433,HGSOC,Comigration,0.3333333432674408
434,HGSOC,Seeding site,0.3333333432674408
435,Melanoma,Migration,0.8068690896034241
436,Melanoma,Comigration,0.11338526755571365
437,Melanoma,Seeding site,0.07974569499492645
438,Neuroblastoma,Migration,0.5822601318359375
439,Neuroblastoma,Comigration,0.2919287085533142
440,Neuroblastoma,Seeding site,0.12581118941307068
441,NSCLC,Migration,0.49893856048583984
442,NSCLC,Comigration,0.24230439960956573
443,NSCLC,Seeding site,0.2587570250034332
444,HGSOC,Migration,0.3991285264492035
445,HGSOC,Comigration,0.30043572187423706
446,HGSOC,Seeding site,0.30043575167655945
447,Melanoma,Migration,0.8366318345069885
448,Melanoma,Comigration,0.09319887310266495
449,Melanoma,Seeding site,0.07016920298337936
450,Neuroblastoma,Migration,0.5305755138397217
451,Neuroblastoma,Comigration,0.23897583782672882
452,Neuroblastoma,Seeding site,0.2304486185312271
453,NSCLC,Migration,0.517619252204895
454,NSCLC,Comigration,0.24088920652866364
455,NSCLC,Seeding site,0.24149155616760254
456,HGSOC,Migration,0.47968366742134094
457,HGSOC,Comigration,0.2601581811904907
458,HGSOC,Seeding site,0.2601581811904907
459,Melanoma,Migration,0.5618237257003784
460,Melanoma,Comigration,0.2769527733325958
461,Melanoma,Seeding site,0.16122359037399292
462,Neuroblastoma,Migration,0.47997918725013733
463,Neuroblastoma,Comigration,0.2606230676174164
464,Neuroblastoma,Seeding site,0.2593976557254791
465,NSCLC,Migration,0.4862290322780609
466,NSCLC,Comigration,0.25415998697280884
467,NSCLC,Seeding site,0.25961098074913025
468,HGSOC,Migration,0.5815300345420837
469,HGSOC,Comigration,0.20923496782779694
470,HGSOC,Seeding site,0.20923499763011932
471,Melanoma,Migration,0.7042098045349121
472,Melanoma,Comigration,0.17223545908927917
473,Melanoma,Seeding site,0.12355468422174454
474,Neuroblastoma,Migration,0.4719765782356262
475,Neuroblastoma,Comigration,0.27713122963905334
476,Neuroblastoma,Seeding site,0.25089213252067566
477,NSCLC,Migration,0.5429532527923584
478,NSCLC,Comigration,0.2278350591659546
479,NSCLC,Seeding site,0.22921164333820343
480,HGSOC,Migration,0.5815300941467285
481,HGSOC,Comigration,0.20923493802547455
482,HGSOC,Seeding site,0.20923498272895813
483,Melanoma,Migration,0.46592843532562256
484,Melanoma,Comigration,0.22945775091648102
485,Melanoma,Seeding site,0.3046138286590576
486,Neuroblastoma,Migration,0.50995934009552
487,Neuroblastoma,Comigration,0.29528382420539856
488,Neuroblastoma,Seeding site,0.19475682079792023
489,NSCLC,Migration,0.645342230796814
490,NSCLC,Comigration,0.18535616993904114
491,NSCLC,Seeding site,0.1693015992641449
492,HGSOC,Migration,0.6132934093475342
493,HGSOC,Comigration,0.19335328042507172
494,HGSOC,Seeding site,0.19335328042507172
495,Melanoma,Migration,0.8776842951774597
496,Melanoma,Comigration,0.061157844960689545
497,Melanoma,Seeding site,0.061157844960689545
498,Neuroblastoma,Migration,0.613953173160553
499,Neuroblastoma,Comigration,0.21137061715126038
500,Neuroblastoma,Seeding site,0.17467617988586426
501,NSCLC,Migration,0.5229059457778931
502,NSCLC,Comigration,0.24617964029312134
503,NSCLC,Seeding site,0.2309143841266632
504,HGSOC,Migration,0.3333333432674408
505,HGSOC,Comigration,0.3333333432674408
506,HGSOC,Seeding site,0.3333333432674408
507,Melanoma,Migration,0.797409176826477
508,Melanoma,Comigration,0.11764553189277649
509,Melanoma,Seeding site,0.08494526892900467
510,Neuroblastoma,Migration,0.5628513097763062
511,Neuroblastoma,Comigration,0.21669797599315643
512,Neuroblastoma,Seeding site,0.22045071423053741
513,NSCLC,Migration,0.5130668878555298
514,NSCLC,Comigration,0.23869600892066956
515,NSCLC,Seeding site,0.24823714792728424
516,HGSOC,Migration,0.6135831475257874
517,HGSOC,Comigration,0.1932084560394287
518,HGSOC,Seeding site,0.1932084560394287
519,Melanoma,Migration,0.752758800983429
520,Melanoma,Comigration,0.146820068359375
521,Melanoma,Seeding site,0.10042116045951843
522,Neuroblastoma,Migration,0.678787887096405
523,Neuroblastoma,Comigration,0.20303748548030853
524,Neuroblastoma,Seeding site,0.11817463487386703
525,NSCLC,Migration,0.5231658220291138
526,NSCLC,Comigration,0.24209755659103394
527,NSCLC,Seeding site,0.23473654687404633
528,HGSOC,Migration,0.6132934093475342
529,HGSOC,Comigration,0.19335328042507172
530,HGSOC,Seeding site,0.19335328042507172
531,Melanoma,Migration,0.45443645119667053
532,Melanoma,Comigration,0.2376008778810501
533,Melanoma,Seeding site,0.30796268582344055
534,Neuroblastoma,Migration,0.4338371753692627
535,Neuroblastoma,Comigration,0.3237967789173126
536,Neuroblastoma,Seeding site,0.24236607551574707
537,NSCLC,Migration,0.511623740196228
538,NSCLC,Comigration,0.23740312457084656
539,NSCLC,Seeding site,0.2509731352329254
540,HGSOC,Migration,0.6121687889099121
541,HGSOC,Comigration,0.19391559064388275
542,HGSOC,Seeding site,0.19391560554504395
543,Melanoma,Migration,0.7975355982780457
544,Melanoma,Comigration,0.11758619546890259
545,Melanoma,Seeding site,0.08487827330827713
546,Neuroblastoma,Migration,0.5823156237602234
547,Neuroblastoma,Comigration,0.2241741269826889
548,Neuroblastoma,Seeding site,0.1935102492570877
549,NSCLC,Migration,0.4383367896080017
550,NSCLC,Comigration,0.2873323857784271
551,NSCLC,Seeding site,0.27433085441589355
552,HGSOC,Migration,0.6841938495635986
553,HGSOC,Comigration,0.1579030603170395
554,HGSOC,Seeding site,0.1579030603170395
555,Melanoma,Migration,0.8257032036781311
556,Melanoma,Comigration,0.08714836835861206
557,Melanoma,Seeding site,0.08714836835861206
558,Neuroblastoma,Migration,0.4933151602745056
559,Neuroblastoma,Comigration,0.301270991563797
560,Neuroblastoma,Seeding site,0.2054138034582138
561,NSCLC,Migration,0.4410508871078491
562,NSCLC,Comigration,0.2769870162010193
563,NSCLC,Seeding site,0.28196215629577637
564,HGSOC,Migration,0.6865311861038208
565,HGSOC,Comigration,0.1567343771457672
566,HGSOC,Seeding site,0.1567343920469284
567,Melanoma,Migration,0.8776842951774597
568,Melanoma,Comigration,0.06115785613656044
569,Melanoma,Seeding site,0.061157871037721634
570,Neuroblastoma,Migration,0.6213213205337524
571,Neuroblastoma,Comigration,0.22555223107337952
572,Neuroblastoma,Seeding site,0.15312643349170685
573,NSCLC,Migration,0.5512866973876953
574,NSCLC,Comigration,0.22328796982765198
575,NSCLC,Seeding site,0.2254253476858139
576,HGSOC,Migration,0.5662294626235962
577,HGSOC,Comigration,0.2168852984905243
578,HGSOC,Seeding site,0.2168852984905243
579,Melanoma,Migration,0.7522622346878052
580,Melanoma,Comigration,0.14698830246925354
581,Melanoma,Seeding site,0.10074950754642487
582,Neuroblastoma,Migration,0.557343065738678
583,Neuroblastoma,Comigration,0.23328213393688202
584,Neuroblastoma,Seeding site,0.2093748301267624
585,NSCLC,Migration,0.5202589631080627
586,NSCLC,Comigration,0.24968338012695312
587,NSCLC,Seeding site,0.23005762696266174
588,HGSOC,Migration,0.3991285264492035
589,HGSOC,Comigration,0.30043572187423706
590,HGSOC,Seeding site,0.30043575167655945
591,Melanoma,Migration,0.6130766272544861
592,Melanoma,Comigration,0.26399537920951843
593,Melanoma,Seeding site,0.12292803078889847
594,Neuroblastoma,Migration,0.6923984885215759
595,Neuroblastoma,Comigration,0.1750866174697876
596,Neuroblastoma,Seeding site,0.1325148642063141
597,NSCLC,Migration,0.567610502243042
598,NSCLC,Comigration,0.22252552211284637
599,NSCLC,Seeding site,0.20986397564411163
