,Parsimony metric,Fit theta
184,Comigration,0.2705327570438385
185,Seeding site,0.3109912872314453
186,Migration,0.481194406747818
187,Comigration,0.25719374418258667
188,Seeding site,0.26161178946495056
189,Migration,0.5111745595932007
190,Comigration,0.25069206953048706
191,Seeding site,0.23813338577747345
192,Migration,0.532315731048584
193,Comigration,0.23396730422973633
194,Seeding site,0.2337169498205185
195,Migration,0.47831034660339355
196,Comigration,0.2868894636631012
197,Seeding site,0.23480013012886047
198,Migration,0.46055036783218384
199,Comigration,0.26129624247550964
200,Seeding site,0.27815330028533936
201,Migration,0.5392916202545166
202,Comigration,0.24161328375339508
203,Seeding site,0.2190951257944107
204,Migration,0.5247622728347778
205,Comigration,0.2566457986831665
206,Seeding site,0.21859194338321686
207,Migration,0.5435078740119934
208,Comigration,0.2611774802207947
209,Seeding site,0.19531461596488953
210,Migration,0.5079389214515686
211,Comigration,0.258983314037323
212,Seeding site,0.23307770490646362
213,Migration,0.5842973589897156
214,Comigration,0.2207241803407669
215,Seeding site,0.1949784755706787
216,Migration,0.5126040577888489
217,Comigration,0.2794853448867798
218,Seeding site,0.20791052281856537
219,Migration,0.4994592070579529
220,Comigration,0.21372781693935394
221,Seeding site,0.28681305050849915
222,Migration,0.5739911794662476
223,Comigration,0.23599183559417725
224,Seeding site,0.19001702964305878
225,Migration,0.4216066598892212
226,Comigration,0.30050578713417053
227,Seeding site,0.2778875231742859
228,Migration,0.5483165979385376
229,Comigration,0.21781450510025024
230,Seeding site,0.23386888206005096
231,Migration,0.5539289116859436
232,Comigration,0.25263965129852295
233,Seeding site,0.19343146681785583
234,Migration,0.44060018658638
235,Comigration,0.2700517177581787
236,Seeding site,0.28934812545776367
237,Migration,0.39900562167167664
238,Comigration,0.31288212537765503
239,Seeding site,0.2881123125553131
240,Migration,0.37018758058547974
241,Comigration,0.34009718894958496
242,Seeding site,0.2897152304649353
243,Migration,0.45991820096969604
244,Comigration,0.2606150209903717
245,Seeding site,0.27946680784225464
246,Migration,0.419804185628891
247,Comigration,0.33010661602020264
248,Seeding site,0.250089168548584
249,Migration,0.4717433452606201
250,Comigration,0.2543172836303711
251,Seeding site,0.2739394009113312
252,Migration,0.5109684467315674
253,Comigration,0.24535100162029266
254,Seeding site,0.24368050694465637
255,Migration,0.33799752593040466
256,Comigration,0.35591819882392883
257,Seeding site,0.3060843050479889
258,Migration,0.3976171612739563
259,Comigration,0.31048575043678284
260,Seeding site,0.2918970286846161
261,Migration,0.4831660985946655
262,Comigration,0.2984108626842499
263,Seeding site,0.218422994017601
264,Migration,0.3855435848236084
265,Comigration,0.33151280879974365
266,Seeding site,0.2829435467720032
267,Migration,0.570043683052063
268,Comigration,0.24252751469612122
269,Seeding site,0.187428817152977
270,Migration,0.4637470543384552
271,Comigration,0.3181115388870239
272,Seeding site,0.21814149618148804
273,Migration,0.5509269833564758
274,Comigration,0.24009299278259277
275,Seeding site,0.2089800238609314
276,Migration,0.3065906763076782
277,Comigration,0.40678051114082336
278,Seeding site,0.2866288721561432
279,Migration,0.46711984276771545
280,Comigration,0.27557042241096497
281,Seeding site,0.25730976462364197
282,Migration,0.45720669627189636
283,Comigration,0.33160898089408875
284,Seeding site,0.2111842930316925
285,Migration,0.4694332182407379
286,Comigration,0.32089439034461975
287,Seeding site,0.20967239141464233
288,Migration,0.4390351176261902
289,Comigration,0.3193061947822571
290,Seeding site,0.24165870249271393
291,Migration,0.346694678068161
292,Comigration,0.4074454605579376
293,Seeding site,0.24585987627506256
294,Migration,0.5297084450721741
295,Comigration,0.2538851499557495
296,Seeding site,0.21640639007091522
297,Migration,0.5233845710754395
298,Comigration,0.23762373626232147
299,Seeding site,0.23899175226688385
