Patient	Sample	final.purity	final.ploidy
CRUK0036	CRUK0036_SU_T1.R2	0.34	2.95
CRUK0036	CRUK0036_SU_T1.R3	0.35	2.95
CRUK0036	CRUK0036_SU_T1.R4	0.16	3.05
CRUK0083	CRUK0083_SU_T1.R2	0.44	3.65
CRUK0083	CRUK0083_SU_T1.R3	0.3	3.95
CRUK0083	CRUK0083_SU_T1.R4	0.41	3.65
CRUK0083	CRUK0083_SU_T1.R1	0.57	3.5
CRUK0083	CRUK0083_SU_FLN1	0.34	3.4
CRUK0009	CRUK0009_SU_FLN1	0.13	3.5
CRUK0009	CRUK0009_SU_T1.R4	0.3	3.65
CRUK0009	CRUK0009_SU_T1.R3	0.27	2.7
CRUK0009	CRUK0009_SU_T1.R1	0.25	4.9
CRUK0009	CRUK0009_SU_T1.R2	0.23	3.75
CRUK0178	CRUK0178_SU_T1.R3	0.45	2.9
CRUK0178	CRUK0178_SU_T1.R4	0.76	2.65
CRUK0178	CRUK0178_SU_T1.R1	0.6	3.05
CRUK0178	CRUK0178_SU_T1.R2	0.68	2.75
CRUK0178	CRUK0178_SU_FLN1	0.46	2.65
CRUK0099	CRUK0099_SU_T1.R6	0.2	2
CRUK0099	CRUK0099_SU_T1.R3	0.28	1.9
CRUK0099	CRUK0099_SU_T1.R1	0.23	2
CRUK0099	CRUK0099_SU_T1.R7	0.19	1.95
CRUK0099	CRUK0099_SU_FLN2	0.28	1.75
CRUK0048	CRUK0048_SU_T1.R1	0.2	4.1
CRUK0048	CRUK0048_SU_T1.R2	0.5	3.7
CRUK0048	CRUK0048_SU_T1.R3	0.47	3.35
CRUK0048	CRUK0048_BR_T1.R1	0.63	3.4
CRUK0048	CRUK0048_BR_T1.R2	0.57	3.2
CRUK0296	CRUK0296_SU_T1.R1	0.56	2.05
CRUK0296	CRUK0296_MR_T1.FR1	0.44	1.9
CRUK0296	CRUK0296_SU_T1.R2	0.55	2.1
CRUK0013	CRUK0013_SU_LN1	0.58	3.05
CRUK0013	CRUK0013_SU_LN2	0.68	3.05
CRUK0013	CRUK0013_SU_T1.R1	0.49	2.85
CRUK0013	CRUK0013_SU_T1.R3	0.51	3.05
CRUK0013	CRUK0013_SU_FLN2	0.66	3.05
CRUK0013	CRUK0013_SU_T1.R2	0.33	3.35
CRUK0013	CRUK0013_SU_FLN1	0.61	3
CRUK0290	CRUK0290_SU_T1.R2	0.56	3.25
CRUK0290	CRUK0290_SU_FLN1	0.41	3
CRUK0290	CRUK0290_SU_T1.R1	0.46	4.15
CRUK0290	CRUK0290_SU_LN1	0.19	3.6
CRUK0290	CRUK0290_SU_T1.R3	0.17	3.4
CRUK0097	CRUK0097_SU_T1.R2	0.51	1.75
CRUK0097	CRUK0097_BR_FLN1	0.22	1.7
CRUK0097	CRUK0097_SU_T1.R1	0.43	1.6
CRUK0087	CRUK0087_SU_FLN2	0.41	1.7
CRUK0087	CRUK0087_SU_T1.R2	0.33	2.9
CRUK0087	CRUK0087_SU_T1.R3	0.16	3.15
CRUK0087	CRUK0087_SU_T1.R1	0.22	2.95
CRUK0087	CRUK0087_SU_FLN1	0.41	3.2
CRUK0242	CRUK0242_BR_T1.R1	0.07	5
CRUK0242	CRUK0242_SU_FLN1	0.18	5.25
CRUK0242	CRUK0242_SU_T1.R2	0.13	4.8
CRUK0242	CRUK0242_SU_T1.R3	0.29	5.2
CRUK0242	CRUK0242_SU_T1.R1	0.4	5.2
CRUK0245	CRUK0245_SU_FLN2	0.87	3.1
CRUK0245	CRUK0245_SU_FLN1	0.67	3.25
CRUK0245	CRUK0245_SU_T1.R2	0.78	1.75
CRUK0245	CRUK0245_SU_LN1	0.87	1.75
CRUK0245	CRUK0245_SU_T1.R1	0.86	1.85
CRUK0074	CRUK0074_SU_T1.R1	0.28	3.05
CRUK0074	CRUK0074_SU_T1.R2	0.14	3.4
CRUK0074	CRUK0074_BR_FLN1	0.21	2.8
CRUK0022	CRUK0022_SU_T1.R1	0.52	3.95
CRUK0022	CRUK0022_SU_FLN1	0.31	3.95
CRUK0022	CRUK0022_SU_T1.R2	0.2	3.8
CRUK0206	CRUK0206_MR_T1.R5	0.33	3.35
CRUK0206	CRUK0206_MR_T1.R4	0.19	3.55
CRUK0206	CRUK0206_MR_T1.R1	0.4	3.3
CRUK0206	CRUK0206_MR_T1.R2	0.21	3.5
CRUK0206	CRUK0206_MR_T1.R3	0.46	3.3
CRUK0206	CRUK0206_SU_T1.R2	0.33	3.4
CRUK0206	CRUK0206_SU_T1.R5	0.23	3.5
CRUK0206	CRUK0206_SU_FLN1	0.24	3.25
CRUK0206	CRUK0206_SU_T1.R1	0.16	3.7
CRUK0206	CRUK0206_SU_T1.R4	0.37	3.35
CRUK0206	CRUK0206_SU_T1.R3	0.19	3.65
CRUK0284	CRUK0284_SU_T1.R1	0.41	2.95
CRUK0284	CRUK0284_SU_T1.R3	0.3	3.25
CRUK0284	CRUK0284_SU_T1.R4	0.3	3.3
CRUK0284	CRUK0284_SU_T1.R5	0.43	3.25
CRUK0284	CRUK0284_SU_T1.R2	0.28	3.7
CRUK0284	CRUK0284_BP_T1.R1	0.32	2.85
CRUK0284	CRUK0284_BR_T1.R1	0.29	3.4
CRUK0286	CRUK0286_BR_LN1	0.43	1.7
CRUK0286	CRUK0286_SU_T1.R1	0.24	1.6
CRUK0286	CRUK0286_SU_T1.R3	0.27	1.6
CRUK0256	CRUK0256_SU_FLN1	0.47	1.6
CRUK0256	CRUK0256_SU_LN1	0.56	1.7
CRUK0256	CRUK0256_SU_T1.R1	0.35	1.65
CRUK0256	CRUK0256_SU_T1.R2	0.75	1.65
CRUK0256	CRUK0256_SU_T1.R3	0.38	2.55
CRUK0299	CRUK0299_BR_FLN2	0.23	3.4
CRUK0299	CRUK0299_SU_T1.R2	0.37	4.2
CRUK0299	CRUK0299_BR_FLN1	0.17	3.55
CRUK0299	CRUK0299_SU_T1.R1	0.25	3.45
CRUK0227	CRUK0227_SU_T1.R2	0.12	3.1
CRUK0227	CRUK0227_SU_FLN1	0.26	3.35
CRUK0236	CRUK0236_SU_T1.R1	0.13	5.35
CRUK0236	CRUK0236_SU_FLN1	0.15	5.35
CRUK0236	CRUK0236_SU_T1.R3	0.22	4.6
CRUK0236	CRUK0236_SU_T1.R4	0.11	4.4
CRUK0236	CRUK0236_SU_T1.R5	0.16	5.55
CRUK0236	CRUK0236_SU_T1.R2	0.13	4.25
CRUK0236	CRUK0236_SU_T1.R6	0.26	5.55
CRUK0250	CRUK0250_BR_T1.FR1	0.47	3.15
CRUK0250	CRUK0250_SU_T1.R2	0.42	3.4
CRUK0250	CRUK0250_SU_T1.R1	0.26	3.6
CRUK0372	CRUK0372_SU_T1.R1	0.14	1.9
CRUK0372	CRUK0372_SU_T1.R4	0.13	2.15
CRUK0372	CRUK0372_SU_FLN2	0.13	2.9
CRUK0361	CRUK0361_BR_T1.R1	0.35	2.95
CRUK0361	CRUK0361_SU_T1.R1	0.62	3.2
CRUK0361	CRUK0361_SU_T1.R2	0.73	2.95
CRUK0361	CRUK0361_SU_T1.R3	0.47	2.95
CRUK0361	CRUK0361_SU_T1.R4	0.72	3.25
CRUK0352	CRUK0352_SU_T1.R3	0.59	3.15
CRUK0352	CRUK0352_SU_T1.R4	0.16	3.7
CRUK0352	CRUK0352_SU_T1.R5	0.45	2.95
CRUK0352	CRUK0352_SU_T1.R1	0.71	3.15
CRUK0352	CRUK0352_SU_T1.R2	0.58	3.05
CRUK0352	CRUK0352_SU_FLN1	0.32	3.05
CRUK0352	CRUK0352_SU_T1.R6	0.25	3.15
CRUK0352	CRUK0352_SU_T1.R7	0.31	3.7
CRUK0344	CRUK0344_SU_T1.R3	0.42	2.15
CRUK0344	CRUK0344_BR_T1.R1	0.39	4.05
CRUK0344	CRUK0344_SU_T1.R2	0.47	2.05
CRUK0369	CRUK0369_SU_LN3	0.11	3.55
CRUK0369	CRUK0369_SU_T1.R4	0.48	3.45
CRUK0369	CRUK0369_SU_T1.R2	0.3	3.55
CRUK0369	CRUK0369_SU_T1.R8	0.31	1.95
CRUK0369	CRUK0369_SU_T1.R1	0.36	3.5
CRUK0369	CRUK0369_SU_T1.R7	0.61	3.6
CRUK0369	CRUK0369_SU_T1.R6	0.6	1.8
CRUK0369	CRUK0369_SU_T1.R3	0.72	3.35
CRUK0388	CRUK0388_SU_T1.R4	0.7	2.2
CRUK0388	CRUK0388_SU_T1.R1	0.66	2.1
CRUK0388	CRUK0388_SU_T1.R3	0.61	2.25
CRUK0388	CRUK0388_SU_FLN2	0.13	2.2
CRUK0388	CRUK0388_SU_T1.R2	0.64	2.1
CRUK0388	CRUK0388_SU_FLN1	0.22	2.5
CRUK0325	CRUK0325_SU_FLN1	0.22	2.1
CRUK0325	CRUK0325_SU_T1.R2	0.17	2.75
CRUK0325	CRUK0325_BR_T1.FR1	0.46	2.2
CRUK0301	CRUK0301_SU_T1.R1	0.18	2.15
CRUK0301	CRUK0301_SU_FLN1	0.25	2.05
CRUK0368	CRUK0368_SU_T1.R2	0.64	1.75
CRUK0368	CRUK0368_SU_FLN3	0.16	1.85
CRUK0368	CRUK0368_SU_T1.R1	0.29	3.45
CRUK0368	CRUK0368_BR_T1.R1	0.14	2
CRUK0368	CRUK0368_SU_T1.R3	0.58	3.6
CRUK0368	CRUK0368_SU_T1.R4	0.75	3.9
CRUK0337	CRUK0337_SU_FLN1	0.35	3.2
CRUK0337	CRUK0337_SU_T1.R2	0.1	3.15
CRUK0337	CRUK0337_SU_T1.R1	0.17	3.4
CRUK0343	CRUK0343_SU_T1.R2	0.51	2.9
CRUK0343	CRUK0343_SU_T1.R4	0.44	3.1
CRUK0343	CRUK0343_SU_T1.R5	0.45	3.05
CRUK0343	CRUK0343_SU_T1.R1	0.37	3.1
CRUK0343	CRUK0343_SU_T1.R3	0.31	3.45
CRUK0343	CRUK0343_SU_LN1	0.73	3.1
CRUK0343	CRUK0343_SU_FLN1	0.6	3.05
CRUK0311	CRUK0311_SU_FLN2	0.52	2.55
CRUK0311	CRUK0311_SU_T1.R4	0.46	2.9
CRUK0311	CRUK0311_SU_LN2	0.33	2.75
CRUK0311	CRUK0311_SU_LN1	0.28	2.95
CRUK0311	CRUK0311_SU_T1.R2	0.59	2.9
CRUK0311	CRUK0311_SU_FLN1	0.36	2.3
CRUK0311	CRUK0311_SU_T1.R1	0.39	2.7
CRUK0311	CRUK0311_SU_T1.R3	0.7	2.65
CRUK0468	CRUK0468_SU_T1.R3	0.18	2.65
CRUK0468	CRUK0468_SU_T1.R1	0.34	2.7
CRUK0468	CRUK0468_SU_T1.R2	0.22	2.95
CRUK0468	CRUK0468_SU_LN1	0.14	3.1
CRUK0468	CRUK0468_SU_T1.R4	0.2	3.2
CRUK0468	CRUK0468_SU_T1.R7	0.25	1.9
CRUK0468	CRUK0468_SU_T1.R6	0.24	3.35
CRUK0468	CRUK0468_SU_T1.R8	0.2	1.65
CRUK0468	CRUK0468_SU_T1.R5	0.18	3.25
CRUK0468	CRUK0468_SU_FLN1	0.12	3.05
CRUK0487	CRUK0487_SU_T1.R7	0.58	3.2
CRUK0487	CRUK0487_SU_T1.R2	0.7	3.3
CRUK0487	CRUK0487_SU_FLN1	0.25	3.3
CRUK0487	CRUK0487_SU_FLN3	0.34	3.4
CRUK0487	CRUK0487_SU_T1.R5	0.44	3.1
CRUK0487	CRUK0487_SU_T1.R6	0.4	3.3
CRUK0487	CRUK0487_SU_T1.R4	0.43	3.2
CRUK0487	CRUK0487_SU_LN1	0.49	3.25
CRUK0487	CRUK0487_SU_T1.R1	0.54	3.4
CRUK0487	CRUK0487_SU_FLN2	0.36	3.2
CRUK0487	CRUK0487_SU_T1.R3	0.67	3.3
CRUK0495	CRUK0495_SU_T1.R6	0.21	3.45
CRUK0495	CRUK0495_SU_T1.R2	0.26	2.95
CRUK0495	CRUK0495_SU_T1.R4	0.49	2.75
CRUK0495	CRUK0495_SU_T3.R2	0.13	2.75
CRUK0495	CRUK0495_SU_T1.R3	0.32	2.95
CRUK0495	CRUK0495_SU_T1.R1	0.46	2.8
CRUK0495	CRUK0495_SU_T2.R1	0.35	5.95
CRUK0495	CRUK0495_SU_T2.R2	0.42	5.85
CRUK0497	CRUK0497_SU_T1.R2	0.56	3.15
CRUK0497	CRUK0497_SU_T1.R3	0.69	2.1
CRUK0497	CRUK0497_SU_T1.R1	0.73	2
CRUK0497	CRUK0497_BR_T1.FR1	0.45	3.2
CRUK0422	CRUK0422_SU_T1.R1	0.63	2.85
CRUK0422	CRUK0422_SU_FLN1	0.13	3.15
CRUK0422	CRUK0422_SU_T1.R2	0.48	2.9
CRUK0410	CRUK0410_BR_LN1	0.45	3.4
CRUK0410	CRUK0410_SU_T1.R2	0.46	3.8
CRUK0410	CRUK0410_SU_T1.R4	0.24	3.75
CRUK0410	CRUK0410_SU_T1.R3	0.42	3
CRUK0410	CRUK0410_SU_T1.R1	0.61	3.55
CRUK0412	CRUK0412_SU_T1.R2	0.45	3.3
CRUK0412	CRUK0412_SU_T1.R5	0.68	3.35
CRUK0412	CRUK0412_SU_T1.R3	0.43	3.25
CRUK0412	CRUK0412_SU_FLN4	0.1	3.95
CRUK0412	CRUK0412_SU_T1.R1	0.45	3.3
CRUK0412	CRUK0412_SU_T1.R4	0.39	3.3
CRUK0415	CRUK0415_SU_T1.R4	0.34	3.2
CRUK0415	CRUK0415_SU_T1.R3	0.28	3.45
CRUK0415	CRUK0415_SU_FLN4	0.37	2
CRUK0415	CRUK0415_SU_FLN2	0.47	1.75
CRUK0415	CRUK0415_SU_T1.R2	0.13	3.7
CRUK0415	CRUK0415_SU_T1.R1	0.44	3.5
CRUK0415	CRUK0415_SU_T1.R5	0.26	3.7
CRUK0496	CRUK0496_SU_T1.R2	0.87	1.95
CRUK0496	CRUK0496_SU_T1.R1	0.84	1.95
CRUK0496	CRUK0496_SU_T1.R3	0.76	2.05
CRUK0496	CRUK0496_SU_FLN1	0.27	3.4
CRUK0452	CRUK0452_SU_T1.R3	0.22	3.25
CRUK0452	CRUK0452_SU_T1.R4	0.37	3.15
CRUK0452	CRUK0452_SU_T1.R1	0.67	3.3
CRUK0452	CRUK0452_SU_T1.R2	0.59	3.3
CRUK0452	CRUK0452_SU_FLN1	0.39	3.1
CRUK0452	CRUK0452_SU_FLN2	0.47	3.2
CRUK0452	CRUK0452_SU_T1.R5	0.58	3.15
CRUK0472	CRUK0472_BR_T1.R1	0.62	3.1
CRUK0472	CRUK0472_SU_T1.R1	0.78	3.1
CRUK0472	CRUK0472_SU_T1.R2	0.85	3.35
CRUK0472	CRUK0472_SU_T1.R3	0.89	3.2
CRUK0472	CRUK0472_SU_FLN1	0.68	2.95
CRUK0407	CRUK0407_SU_T1.R1	0.91	1.8
CRUK0407	CRUK0407_SU_T1.R5	0.86	1.8
CRUK0407	CRUK0407_SU_T1.R2	0.88	1.8
CRUK0407	CRUK0407_SU_T1.R6	0.74	1.9
CRUK0407	CRUK0407_SU_T1.R7	0.39	1.85
CRUK0407	CRUK0407_SU_FLN1	0.33	1.8
CRUK0407	CRUK0407_SU_T1.R4	0.87	1.8
CRUK0407	CRUK0407_SU_T1.R3	0.29	1.8
CRUK0407	CRUK0407_SU_T1.R8	0.62	1.85
CRUK0451	CRUK0451_SU_T1.R1	0.57	3.25
CRUK0451	CRUK0451_SU_T1.R4	0.41	3.5
CRUK0451	CRUK0451_SU_FLN1	0.36	1.9
CRUK0451	CRUK0451_SU_T1.R2	0.62	3.25
CRUK0451	CRUK0451_SU_T1.R3	0.68	3.5
CRUK0484	CRUK0484_SU_T1.R1	0.76	3.45
CRUK0484	CRUK0484_SU_T1.R2	0.69	3.05
CRUK0484	CRUK0484_SU_T1.R3	0.71	3.2
CRUK0484	CRUK0484_SU_T1.R4	0.77	4.15
CRUK0484	CRUK0484_BP_T1.FR1	0.79	2.9
CRUK0484	CRUK0484_BP_T1.R2	0.85	2.75
CRUK0484	CRUK0484_SU_LN1	0.82	3.65
CRUK0484	CRUK0484_SU_FLN1	0.38	3.45
CRUK0484	CRUK0484_BP_T1.R3	0.93	2.75
CRUK0484	CRUK0484_BR_T1.R1	0.78	2.85
CRUK0467	CRUK0467_SU_T1.R2	0.37	2.7
CRUK0467	CRUK0467_SU_FLN1	0.26	2.2
CRUK0467	CRUK0467_BR_T1.R1	0.2	2.6
CRUK0467	CRUK0467_BP_T1.R1	0.88	2.7
CRUK0485	CRUK0485_SU_T1.R4	0.32	3.4
CRUK0485	CRUK0485_SU_T1.R2	0.36	3.25
CRUK0485	CRUK0485_SU_T1.R3	0.19	3.25
CRUK0485	CRUK0485_SU_FLN1	0.31	1.8
CRUK0476	CRUK0476_SU_T1.R3	0.55	5.3
CRUK0476	CRUK0476_SU_T1.R2	0.35	5.5
CRUK0476	CRUK0476_SU_T1.R4	0.41	5.1
CRUK0476	CRUK0476_SU_T1.R1	0.42	5.65
CRUK0476	CRUK0476_SU_FLN1	0.23	5
CRUK0418	CRUK0418_SU_T1.R2	0.31	3.55
CRUK0418	CRUK0418_SU_T1.R1	0.26	3.55
CRUK0418	CRUK0418_SU_FLN1	0.14	3.3
CRUK0418	CRUK0418_SU_T1.R4	0.4	3.3
CRUK0418	CRUK0418_SU_T1.R5	0.39	3.35
CRUK0418	CRUK0418_SU_T1.R3	0.38	3.45
CRUK0465	CRUK0465_SU_T1.R2	0.19	3.3
CRUK0465	CRUK0465_SU_T1.R1	0.21	3.1
CRUK0465	CRUK0465_SU_FLN1	0.29	2.75
CRUK0465	CRUK0465_SU_LN1	0.64	2.65
CRUK0478	CRUK0478_SU_T1.R1	0.7	1.8
CRUK0478	CRUK0478_BR_T1.R1	0.7	1.8
CRUK0478	CRUK0478_SU_T1.R3	0.5	1.85
CRUK0453	CRUK0453_BR_T1.FR1	0.26	3.95
CRUK0453	CRUK0453_SU_T1.R1	0.2	5.1
CRUK0453	CRUK0453_SU_T1.R2	0.27	5
CRUK0444	CRUK0444_SU_FLN1	0.5	2.6
CRUK0444	CRUK0444_SU_T1.R2	0.44	2.55
CRUK0444	CRUK0444_SU_T1.R4	0.68	2.75
CRUK0444	CRUK0444_SU_T1.R3	0.64	3
CRUK0514	CRUK0514_SU_T1.R2	0.1	3.6
CRUK0514	CRUK0514_BR_T1.R1	0.19	2.4
CRUK0514	CRUK0514_SU_T1.R1	0.45	3.5
CRUK0584	CRUK0584_BR_FLN1	0.23	2.3
CRUK0584	CRUK0584_SU_FLN1	0.27	2.2
CRUK0584	CRUK0584_SU_T1.R2	0.19	2
CRUK0510	CRUK0510_SU_T1.R2	0.58	2.9
CRUK0510	CRUK0510_SU_T1.R5	0.75	2.9
CRUK0510	CRUK0510_SU_T1.R1	0.15	2.7
CRUK0510	CRUK0510_SU_T1.R4	0.45	3.05
CRUK0510	CRUK0510_SU_T1.R3	0.74	2.85
CRUK0510	CRUK0510_SU_FLN1	0.27	2.4
CRUK0598	CRUK0598_SU_FLN2	0.41	3.8
CRUK0598	CRUK0598_SU_T1.R1	0.47	3.3
CRUK0598	CRUK0598_SU_T1.R2	0.18	3.3
CRUK0590	CRUK0590_SU_T1.R5	0.64	3.55
CRUK0590	CRUK0590_BR_T1.FR2	0.9	3.1
CRUK0590	CRUK0590_BR_T3.FR1	0.69	3.25
CRUK0590	CRUK0590_BR_T1.FR1	0.81	3.2
CRUK0590	CRUK0590_SU_T1.R1	0.67	3.5
CRUK0590	CRUK0590_SU_T1.R2	0.69	3.45
CRUK0590	CRUK0590_SU_T1.R3	0.61	4
CRUK0590	CRUK0590_SU_T1.R4	0.77	3.45
CRUK0590	CRUK0590_SU_FLN1	0.39	3.5
CRUK0519	CRUK0519_SU_T1.R1	0.51	5.1
CRUK0519	CRUK0519_SU_T1.R2	0.21	4.6
CRUK0519	CRUK0519_SU_T2.R2	0.28	2.45
CRUK0519	CRUK0519_SU_T2.R1	0.2	2.4
CRUK0519	CRUK0519_SU_FLN1	0.35	2.25
CRUK0519	CRUK0519_SU_T1.R3	0.22	5
CRUK0557	CRUK0557_SU_FLN1	0.35	3.15
CRUK0557	CRUK0557_SU_T1.R5	0.16	2.75
CRUK0557	CRUK0557_SU_T1.R1	0.49	2.5
CRUK0557	CRUK0557_SU_T1.R3	0.3	2.9
CRUK0557	CRUK0557_BR_T1.R1	0.29	3.1
CRUK0557	CRUK0557_SU_T1.R2	0.39	2.7
CRUK0557	CRUK0557_SU_T1.R4	0.56	2.55
CRUK0537	CRUK0537_BR_T1.R1	0.36	3.05
CRUK0537	CRUK0537_SU_T1.R1	0.3	3.2
CRUK0537	CRUK0537_SU_T1.R2	0.16	3
CRUK0572	CRUK0572_SU_T1.R4	0.06	3.3
CRUK0572	CRUK0572_SU_FLN2	0.3	2.2
CRUK0572	CRUK0572_SU_T1.R3	0.12	3.2
CRUK0572	CRUK0572_SU_FLN1	0.06	3.3
CRUK0530	CRUK0530_SU_FLN2	0.23	2.9
CRUK0530	CRUK0530_SU_T1.R1	0.22	3.1
CRUK0530	CRUK0530_SU_FLN1	0.27	2.85
CRUK0530	CRUK0530_BR_T1.R1	0.06	2
CRUK0530	CRUK0530_SU_T1.R2	0.49	2.8
CRUK0528	CRUK0528_SU_T1.R2	0.58	2.25
CRUK0528	CRUK0528_SU_T1.R3	0.74	2.25
CRUK0528	CRUK0528_SU_T1.R1	0.57	2.3
CRUK0528	CRUK0528_SU_FLN1	0.59	2.35
CRUK0559	CRUK0559_SU_T1.R3	0.18	3.35
CRUK0559	CRUK0559_SU_LN1	0.18	3.3
CRUK0559	CRUK0559_SU_LN3	0.15	3.3
CRUK0559	CRUK0559_SU_T1.R4	0.27	3.35
CRUK0559	CRUK0559_SU_T1.R2	0.2	3.4
CRUK0559	CRUK0559_SU_LN2	0.24	3.25
CRUK0559	CRUK0559_SU_FLN1	0.18	3.1
CRUK0559	CRUK0559_SU_T1.R1	0.43	3.35
CRUK0559	CRUK0559_BR_T1.R1	0.19	3.15
CRUK0559	CRUK0559_SU_T1.R5	0.33	3.3
CRUK0516	CRUK0516_SU_T1.R4	0.88	3
CRUK0516	CRUK0516_SU_T1.R5	0.8	3.05
CRUK0516	CRUK0516_SU_T1.R3	0.39	3.2
CRUK0516	CRUK0516_SU_T1.R8	0.42	2.45
CRUK0516	CRUK0516_SU_T1.R7	0.24	2.5
CRUK0516	CRUK0516_SU_T1.R2	0.42	2.55
CRUK0516	CRUK0516_BR_T1.R1	0.55	3.2
CRUK0516	CRUK0516_SU_T1.R1	0.57	2.65
CRUK0516	CRUK0516_SU_T1.R6	0.15	2.4
CRUK0596	CRUK0596_SU_T1.R8	0.59	2.6
CRUK0596	CRUK0596_SU_T1.R6	0.48	2.7
CRUK0596	CRUK0596_SU_T1.R1	0.48	2.8
CRUK0596	CRUK0596_SU_T1.R5	0.74	2.7
